sep=\t
Module Resource Usage Distribution Estimates
Generated at: Mar 22, 2026 22:04:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      ADDs	      LUTs	      RAMs	 DSP/MULTs
      +scan_row.row[0].column[6].bram:dpbram_primitive_51815ffeef0f44eba271f86e9840c16a(FAMILY="TRION",WRITE_WIDTH_A=5,CLKA_POLARITY=1,CLKEA_POLARITY=1,WEA_POLARITY=1,READ_WIDTH_A=5,OUTPUT_REG_A=0,WRITE_WIDTH_B=5,CLKB_POLARITY=1,CLKEB_POLARITY=1,WEB_POLARITY=1,READ_WIDTH_B=5,OUTPUT_REG_B=0,RSTA_POLARITY=1,ADDRENA_POLARITY=1,RSTB_POLARITY=1,ADDRENB_POLARITY=1,ini_index=6)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
  +u_pingpong_bram_bank1:pingpong_bram_refact               	     0(0)	     0(0)	     1(0)	     7(0)	     0(0)	
   +u_efx_bram:efx_bram_51815ffeef0f44eba271f86e9840c16a_renamed_due_excessive_length_1	     0(0)	     0(0)	     1(0)	     7(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_51815ffeef0f44eba271f86e9840c16a_renamed_due_excessive_length_2	     0(0)	     0(0)	     1(0)	     7(0)	     0(0)	
     +brams:dpram_wrapper_mwm_51815ffeef0f44eba271f86e9840c16a_renamed_due_excessive_length_3	     0(0)	     0(0)	     1(0)	     7(0)	     0(0)	
      +scan_row.row[0].column[0].bram:dpbram_primitive_51815ffeef0f44eba271f86e9840c16a(FAMILY="TRION",WRITE_WIDTH_A=5,CLKA_POLARITY=1,CLKEA_POLARITY=1,WEA_POLARITY=1,READ_WIDTH_A=5,OUTPUT_REG_A=0,WRITE_WIDTH_B=5,CLKB_POLARITY=1,CLKEB_POLARITY=1,WEB_POLARITY=1,READ_WIDTH_B=5,OUTPUT_REG_B=0,RSTA_POLARITY=1,ADDRENA_POLARITY=1,RSTB_POLARITY=1,ADDRENB_POLARITY=1)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_51815ffeef0f44eba271f86e9840c16a(FAMILY="TRION",WRITE_WIDTH_A=5,CLKA_POLARITY=1,CLKEA_POLARITY=1,WEA_POLARITY=1,READ_WIDTH_A=5,OUTPUT_REG_A=0,WRITE_WIDTH_B=5,CLKB_POLARITY=1,CLKEB_POLARITY=1,WEB_POLARITY=1,READ_WIDTH_B=5,OUTPUT_REG_B=0,RSTA_POLARITY=1,ADDRENA_POLARITY=1,RSTB_POLARITY=1,ADDRENB_POLARITY=1,ini_index=1)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[2].bram:dpbram_primitive_51815ffeef0f44eba271f86e9840c16a(FAMILY="TRION",WRITE_WIDTH_A=5,CLKA_POLARITY=1,CLKEA_POLARITY=1,WEA_POLARITY=1,READ_WIDTH_A=5,OUTPUT_REG_A=0,WRITE_WIDTH_B=5,CLKB_POLARITY=1,CLKEB_POLARITY=1,WEB_POLARITY=1,READ_WIDTH_B=5,OUTPUT_REG_B=0,RSTA_POLARITY=1,ADDRENA_POLARITY=1,RSTB_POLARITY=1,ADDRENB_POLARITY=1,ini_index=2)	     0(0)	     0(0)	     1(1)	     1(1)	     0(0)	
      +scan_row.row[0].column[3].bram:dpbram_primitive_51815ffeef0f44eba271f86e9840c16a(FAMILY="TRION",WRITE_WIDTH_A=5,CLKA_POLARITY=1,CLKEA_POLARITY=1,WEA_POLARITY=1,READ_WIDTH_A=5,OUTPUT_REG_A=0,WRITE_WIDTH_B=5,CLKB_POLARITY=1,CLKEB_POLARITY=1,WEB_POLARITY=1,READ_WIDTH_B=5,OUTPUT_REG_B=0,RSTA_POLARITY=1,ADDRENA_POLARITY=1,RSTB_POLARITY=1,ADDRENB_POLARITY=1,ini_index=3)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[4].bram:dpbram_primitive_51815ffeef0f44eba271f86e9840c16a(FAMILY="TRION",WRITE_WIDTH_A=5,CLKA_POLARITY=1,CLKEA_POLARITY=1,WEA_POLARITY=1,READ_WIDTH_A=5,OUTPUT_REG_A=0,WRITE_WIDTH_B=5,CLKB_POLARITY=1,CLKEB_POLARITY=1,WEB_POLARITY=1,READ_WIDTH_B=5,OUTPUT_REG_B=0,RSTA_POLARITY=1,ADDRENA_POLARITY=1,RSTB_POLARITY=1,ADDRENB_POLARITY=1,ini_index=4)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[5].bram:dpbram_primitive_51815ffeef0f44eba271f86e9840c16a(FAMILY="TRION",WRITE_WIDTH_A=5,CLKA_POLARITY=1,CLKEA_POLARITY=1,WEA_POLARITY=1,READ_WIDTH_A=5,OUTPUT_REG_A=0,WRITE_WIDTH_B=5,CLKB_POLARITY=1,CLKEB_POLARITY=1,WEB_POLARITY=1,READ_WIDTH_B=5,OUTPUT_REG_B=0,RSTA_POLARITY=1,ADDRENA_POLARITY=1,RSTB_POLARITY=1,ADDRENB_POLARITY=1,ini_index=5)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[6].bram:dpbram_primitive_51815ffeef0f44eba271f86e9840c16a(FAMILY="TRION",WRITE_WIDTH_A=5,CLKA_POLARITY=1,CLKEA_POLARITY=1,WEA_POLARITY=1,READ_WIDTH_A=5,OUTPUT_REG_A=0,WRITE_WIDTH_B=5,CLKB_POLARITY=1,CLKEB_POLARITY=1,WEB_POLARITY=1,READ_WIDTH_B=5,OUTPUT_REG_B=0,RSTA_POLARITY=1,ADDRENA_POLARITY=1,RSTB_POLARITY=1,ADDRENB_POLARITY=1,ini_index=6)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	
 +u_VGA_top:VGA_top                                         	   86(42)	   29(10)	  288(19)	     0(0)	     4(0)	
  +u_vga_timing:vga_timing                                  	   44(44)	   19(19)	   43(43)	     0(0)	     0(0)	
  +u_waveform_renderer:waveform_renderer                    	     0(0)	     0(0)	 226(226)	     0(0)	     4(4)	
